"","RowID_","WellNam","County","State","LatDegr","LongDgr","SRS","DrllrTt","TruVrtc","DpthOfM","ElevtnG","LngthUn","MeasrdT","Temprtr","DrllngF","bht_c","WellDepth","MeasrDp","RprtdEl","CRS","coords_x1","coords_x2","BHT","StateID","API_14Dig","coords.x1","coords.x2","optional"
"2489",13986,NA,"Chautauqua","NY",42.203,-79.55308,"NAD83",3798,0,3796,1610,"ft",96,0,NA,35.56,1157.02,1157.02,490.73,"NAD83",619450.41,4673327.87,38.355815,"NY2492","31013163570000",-79.55308,42.203,TRUE
"2490",13987,NA,"Chautauqua","NY",42.2022,-79.54521,"NAD83",3758,0,3746,1535,"ft",96,0,NA,35.56,1141.78,1141.78,467.87,"NAD83",620101.64,4673250.1,38.259388,"NY2493","31013163580000",-79.54521,42.2022,TRUE
"2491",13988,NA,"Chautauqua","NY",42.03966,-79.10135,"NAD83",5070,0,5030,1795,"ft",111,0,NA,43.89,1533.14,1533.14,547.12,"NAD83",657147.3,4655922.65,49.58618,"NY2494","31013163630000",-79.10135,42.03966,TRUE
"2492",13989,NA,"Chautauqua","NY",42.18292,-79.54199,"NAD83",3913,0,3920,1690,"ft",97,0,NA,36.11,1194.82,1194.82,515.11,"NAD83",620404.08,4671113.86,39.15253,"NY2495","31013163810000",-79.54199,42.18292,TRUE
"2493",13990,NA,"Chautauqua","NY",42.14963,-79.62068,"NAD83",3925,0,3913,1591,"ft",104,0,NA,40,1192.68,1192.68,484.94,"NAD83",613965.4,4667309.43,43.028277,"NY2496","31013163840000",-79.62068,42.14963,TRUE
"2494",13991,NA,"Chautauqua","NY",42.19717,-79.55474,"NAD83",3786,0,3784,1600,"ft",98,0,NA,36.67,1153.36,1153.36,487.68,"NAD83",619324.34,4672678.21,39.442497,"NY2497","31013163910000",-79.55474,42.19717,TRUE
"2495",13992,NA,"Chautauqua","NY",42.20647,-79.54117,"NAD83",3858,0,3817,1605,"ft",95,0,NA,35,1163.42,1163.42,489.2,"NAD83",620427.07,4673729.92,37.836833,"NY2498","31013163920000",-79.54117,42.20647,TRUE
"2496",13993,NA,"Chautauqua","NY",42.21065,-79.53736,"NAD83",3871,0,3857,1670,"ft",96,0,NA,35.56,1175.61,1175.61,509.02,"NAD83",620733.63,4674199.44,38.475812,"NY2499","31013163930000",-79.53736,42.21065,TRUE
"2497",13994,NA,"Chautauqua","NY",42.21197,-79.54384,"NAD83",3851,0,3847,1640,"ft",99,0,NA,37.22,1172.57,1172.57,499.87,"NAD83",620196.22,4674336.85,40.116011,"NY2500","31013163940000",-79.54384,42.21197,TRUE
"2498",13995,NA,"Chautauqua","NY",42.2154,-79.53922,"NAD83",3825,0,3817,1675,"ft",93,0,NA,33.89,1163.42,1163.42,510.54,"NAD83",620571.05,4674724.23,36.726833,"NY2501","31013163950000",-79.53922,42.2154,TRUE
